idGame,slugTeam,namePlayer,groupStartPosition,idTeam,idPlayer,fgm,fga,pctFG,fg3m,fg3a,pctFG3,pctFT,fg2m,fg2a,pctFG2,cityTeam,teamName,isStarter,minExact,ftm,fta,oreb,dreb,treb,ast,stl,blk,tov,pf,pts,plusminus,HEIGHT,WEIGHT
22200482,BOS,Malcolm Brogdon,NA,1610612738,1627763,2,4,0.5,0,2,0,1,2,2,1,Boston,Malcolm,TRUE,16.966666666666665,2,2,1,3,4,2,0,0,1,1,6,-2,76,229
22200482,BOS,Grant Williams,NA,1610612738,1629684,2,7,0.286,2,6,0.3333333333333333,0,0,1,0,Boston,Grant,TRUE,22.933333333333337,0,0,2,2,4,1,0,0,2,1,6,10,78,236
22200482,BOS,Noah Vonleh,NA,1610612738,203943,0,0,0,0,0,0,0,0,0,0,Boston,Noah,TRUE,1.2,0,0,0,0,0,0,0,0,0,0,0,-4,82,257
22200482,BOS,Justin Jackson,NA,1610612738,1628382,0,0,0,0,0,0,0,0,0,0,Boston,Justin,TRUE,1.2,0,0,0,0,0,0,0,0,1,0,0,-4,80,220
22200482,BOS,Payton Pritchard,NA,1610612738,1630202,0,0,0,0,0,0,0,0,0,0,Boston,Payton,TRUE,0.95,0,0,0,0,0,0,0,0,0,0,0,-4,73,195
22200483,MIL,Grayson Allen,F,1610612749,1628960,1,3,0.333,1,2,0.5,0,0,1,0,Milwaukee,Grayson,TRUE,24.833333333333332,0,0,3,2,5,1,0,0,0,1,3,-30,76,198
22200483,MIL,Giannis Antetokounmpo,F,1610612749,203507,9,13,0.692,0,1,0,0.727,9,12,0.75,Milwaukee,Giannis,TRUE,35.9,8,11,3,10,13,7,2,0,7,3,26,-20,84,243
22200483,MIL,Brook Lopez,C,1610612749,201572,10,16,0.625,2,5,0.4,0.5,8,11,0.7272727272727273,Milwaukee,Brook,TRUE,30.466666666666665,1,2,2,3,5,0,1,0,1,1,23,-27,85,282
22200483,MIL,Jevon Carter,G,1610612749,1628975,2,10,0.2,0,6,0,1,2,4,0.5,Milwaukee,Jevon,TRUE,27.433333333333337,1,1,0,4,4,1,1,1,3,1,5,-10,73,200
22200483,MIL,Jrue Holiday,G,1610612749,201950,5,14,0.357,2,6,0.3333333333333333,0.857,3,8,0.375,Milwaukee,Jrue,TRUE,33.916666666666664,6,7,2,1,3,5,1,0,5,3,18,-17,77,205
